Strain	sys_id	type	subtype	activity	sys_beg	sys_end	protein_in_syst	genes_count	name_of_profiles_in_sys
PF_EC02	contig_1_circular_Shango_5	Shango	Shango	Defense	contig_1_circular_1600	contig_1_circular_1603	contig_1_circular_1600,contig_1_circular_1603	2	Shango__SngA,Shango__SngC
PF_EC02	contig_1_circular_ardb_klca_acric11_13	Anti_RM	ardb_klca_acric11	Antidefense	contig_1_circular_1631	contig_1_circular_1631	contig_1_circular_1631	1	klca
PF_EC02	contig_1_circular_CAS_Class1-Subtype-I-E_9	Cas	CAS_Class1-Subtype-I-E	Defense	contig_1_circular_2001	contig_1_circular_2007	contig_1_circular_2001,contig_1_circular_2002,contig_1_circular_2003,contig_1_circular_2004,contig_1_circular_2005,contig_1_circular_2006,contig_1_circular_2007	7	cas1_I-E_1,cas3_I_5,cas5_I-E_3,cas6e_I_II_III_IV_V_VI_1,cas7_I-E_2,cas8e_I-E_1,cse2gr11_I-E_1
PF_EC02	contig_1_circular_MazEF_3	MazEF	MazEF	Defense	contig_1_circular_2031	contig_1_circular_2032	contig_1_circular_2031,contig_1_circular_2032	2	MazEF__MazE,MazEF__MazF
PF_EC02	contig_1_circular_ardb_klca_acric11_14	Anti_RM	ardb_klca_acric11	Antidefense	contig_1_circular_2434	contig_1_circular_2434	contig_1_circular_2434	1	klca
PF_EC02	contig_1_circular_dCTPdeaminase_6	dCTPdeaminase	dCTPdeaminase	Defense	contig_1_circular_3684	contig_1_circular_3684	contig_1_circular_3684	1	dCTPdeaminase__dCTPdeaminase
PF_EC02	contig_1_circular_gam_15	Anti_RecBCD	gam	Antidefense	contig_1_circular_3999	contig_1_circular_3999	contig_1_circular_3999	1	gam
PF_EC02	contig_1_circular_DS-6_2	DS-6	DS-6	Defense	contig_1_circular_4001	contig_1_circular_4002	contig_1_circular_4001,contig_1_circular_4002	2	DS-6__DS-6A,DS-6__DS-6B
PF_EC02	contig_1_circular_DS-10_1	DS-10	DS-10	Defense	contig_1_circular_4009	contig_1_circular_4009	contig_1_circular_4009	1	DS-10__DS-10
PF_EC02	contig_1_circular_PD-T4-3_4	PD-T4-3	PD-T4-3	Defense	contig_1_circular_4048	contig_1_circular_4048	contig_1_circular_4048	1	PD-T4-3__PD-T4-3
PF_EC02	contig_2_arda_ardu_17	Anti_RM	arda_ardu	Antidefense	contig_2_42	contig_2_42	contig_2_42	1	arda
PF_EC02	contig_2_psiab_19	Other	psiab	Antidefense	contig_2_44	contig_2_45	contig_2_44,contig_2_45	2	psia,psib
PF_EC02	contig_2_ardb_klca_acric11_18	Anti_RM	ardb_klca_acric11	Antidefense	contig_2_52	contig_2_52	contig_2_52	1	ardb
PF_EC02	contig_3_MazEF_7	MazEF	MazEF	Defense	contig_3_111	contig_3_112	contig_3_111,contig_3_112	2	MazEF__MazE,MazEF__MazF
PF_EC02	contig_3_psiab_22	Other	psiab	Antidefense	contig_3_118	contig_3_119	contig_3_118,contig_3_119	2	psia,psib
PF_EC02	contig_4_dar_ddr_hdf_ulx_20	Anti_RM	dar_ddr_hdf_ulx	Antidefense	contig_4_38	contig_4_41	contig_4_38,contig_4_39,contig_4_40,contig_4_41	4	dara,ddra,ddrb,hdf
PF_EC02	contig_4_dar_ddr_hdf_ulx_21	Anti_RM	dar_ddr_hdf_ulx	Antidefense	contig_4_48	contig_4_49	contig_4_48,contig_4_49	2	darb,ulx
PF_EC02	contig_5_RM_Type_II_8	RM	RM_Type_II	Defense	contig_5_2	contig_5_3	contig_5_2,contig_5_3	2	RM_Type_II__Type_II_MTases_FAM_2,RM_Type_II__Type_II_REase23
PF_EC03	1_PsyrTA_3	PsyrTA	PsyrTA	Defense	1_286	1_287	1_286,1_287	2	PsyrTA__PsyrA,PsyrTA__PsyrT
PF_EC03	1_SanaTA_5	SanaTA	SanaTA	Defense	1_771	1_772	1_771,1_772	2	SanaTA__SanaA,SanaTA__SanaT
PF_EC03	1_ardb_klca_acric11_14	Anti_RM	ardb_klca_acric11	Antidefense	1_781	1_781	1_781	1	klca
PF_EC03	1_ardb_klca_acric11_15	Anti_RM	ardb_klca_acric11	Antidefense	1_1753	1_1753	1_1753	1	klca
PF_EC03	1_Lamassu-Mrr_2	Lamassu-Fam	Lamassu-Mrr	Defense	1_2595	1_2597	1_2595,1_2596,1_2597	3	Lamassu-Fam__LmuA_effector_Mrr,Lamassu-Fam__LmuB_SMC_Mrr,Lamassu-Fam__LmuC_acc_Mrr
PF_EC03	1_Retron_I_C_4	Retron	Retron_I_C	Defense	1_2599	1_2599	1_2599	1	Retron_I_C__RT_1_C1
PF_EC03	1_gam_19	Anti_RecBCD	gam	Antidefense	1_2701	1_2701	1_2701	1	gam
PF_EC03	1_AbiE_1	AbiE	AbiE	Defense	1_3554	1_3555	1_3554,1_3555	2	AbiEii__AbiEi_3,AbiEii__AbiEii
PF_EC03	1_RM_Type_I_10	RM	RM_Type_I	Defense	1_3556	1_3558	1_3556,1_3557,1_3558	3	RM__Type_I_MTases_FAM_0,RM__Type_I_REases_FAM_0.einsi_trimmed,RM__Type_I_S_06
PF_EC03	1_RM_Type_IV_13	RM	RM_Type_IV	Defense	1_3919	1_3920	1_3919,1_3920	2	RM_Type_IV__FAM_1,RM_Type_IV__FAM_2
PF_EC03	1_RM_Type_II_11	RM	RM_Type_II	Defense	1_3921	1_3923	1_3921,1_3922,1_3923	3	RM_Type_II__Type_II_MTases_FAM_0,RM_Type_II__Type_II_MTases_FAM_33,RM_Type_II__Type_II_REase37
PF_EC03	1_ardb_klca_acric11_16	Anti_RM	ardb_klca_acric11	Antidefense	1_3933	1_3933	1_3933	1	klca
PF_EC03	1_SoFic_6	SoFIC	SoFic	Defense	1_3970	1_3970	1_3970	1	SoFic__SoFic
PF_EC03	1_RM_Type_II_12	RM	RM_Type_II	Defense	1_3974	1_3977	1_3974,1_3977	2	RM_Type_II__Type_II_MTases_FAM_0,RM_Type_II__Type_II_REase30
PF_EC03	1_ardc_18	Anti_RM	ardc	Antidefense	1_3979	1_3979	1_3979	1	ardc
PF_EC03	1_ardb_klca_acric11_17	Anti_RM	ardb_klca_acric11	Antidefense	1_4104	1_4104	1_4104	1	klca
PF_EC03	2_Mok_Hok_Sok_7	Mok_Hok_Sok	Mok_Hok_Sok	Defense	2_114	2_114	2_114	1	Mok_Hok_Sok__Hok
PF_EC03	2_psiab_21	Other	psiab	Antidefense	2_115	2_116	2_115,2_116	2	psia,psib
PF_EC03	2_ardb_klca_acric11_20	Anti_RM	ardb_klca_acric11	Antidefense	2_129	2_129	2_129	1	ardb
PF_EC03	3_ardb_klca_acric11_23	Anti_RM	ardb_klca_acric11	Antidefense	3_20	3_20	3_20	1	ardb
PF_EC03	3_psiab_24	Other	psiab	Antidefense	3_26	3_27	3_26,3_27	2	psia,psib
PF_EC03	3_arda_ardu_22	Anti_RM	arda_ardu	Antidefense	3_29	3_29	3_29	1	arda
PF_EC03	4_ardb_klca_acric11_25	Anti_RM	ardb_klca_acric11	Antidefense	4_19	4_19	4_19	1	ardb
PF_EC03	4_psiab_26	Other	psiab	Antidefense	4_29	4_30	4_29,4_30	2	psia,psib
PF_EC03	4_Mok_Hok_Sok_8	Mok_Hok_Sok	Mok_Hok_Sok	Defense	4_31	4_31	4_31	1	Mok_Hok_Sok__Mok
PF_EC04	1_ardb_klca_acric11_20	Anti_RM	ardb_klca_acric11	Antidefense	1_743	1_743	1_743	1	klca
PF_EC04	1_ardb_klca_acric11_21	Anti_RM	ardb_klca_acric11	Antidefense	1_1698	1_1698	1_1698	1	klca
PF_EC04	1_SanaTA_6	SanaTA	SanaTA	Defense	1_1707	1_1708	1_1707,1_1708	2	SanaTA__SanaA,SanaTA__SanaT
PF_EC04	1_PsyrTA_4	PsyrTA	PsyrTA	Defense	1_2179	1_2180	1_2179,1_2180	2	PsyrTA__PsyrA,PsyrTA__PsyrT
PF_EC04	1_MazEF_3	MazEF	MazEF	Defense	1_3020	1_3021	1_3020,1_3021	2	MazEF__MazE,MazEF__MazF
PF_EC04	1_RM_Type_II_16	RM	RM_Type_II	Defense	1_3077	1_3079	1_3077,1_3078,1_3079	3	RM_Type_II__Type_II_MTases_FAM_0,RM_Type_II__Type_II_MTases_FAM_33,RM_Type_II__Type_II_REase37
PF_EC04	1_RM_Type_IV_17	RM	RM_Type_IV	Defense	1_3080	1_3081	1_3080,1_3081	2	RM_Type_IV__FAM_1,RM_Type_IV__FAM_2
PF_EC04	1_RM_Type_I_14	RM	RM_Type_I	Defense	1_3122	1_3124	1_3122,1_3123,1_3124	3	RM__Type_I_MTases_FAM_0,RM__Type_I_REases_FAM_0.einsi_trimmed,RM__Type_I_S_06
PF_EC04	1_RM_Type_I_15	RM	RM_Type_I	Defense	1_3465	1_3467	1_3465,1_3466,1_3467	3	RM__Type_I_MTases_FAM_0,RM__Type_I_REases_FAM_0.einsi_trimmed,RM__Type_I_S_06
PF_EC04	1_AbiE_1	AbiE	AbiE	Defense	1_3468	1_3469	1_3468,1_3469	2	AbiEii__AbiEi_3,AbiEii__AbiEii
PF_EC04	1_gam_22	Anti_RecBCD	gam	Antidefense	1_4362	1_4362	1_4362	1	gam
PF_EC04	1_Retron_I_C_5	Retron	Retron_I_C	Defense	1_4461	1_4461	1_4461	1	Retron_I_C__RT_1_C1
PF_EC04	1_Lamassu-Mrr_2	Lamassu-Fam	Lamassu-Mrr	Defense	1_4463	1_4465	1_4463,1_4464,1_4465	3	Lamassu-Fam__LmuA_effector_Mrr,Lamassu-Fam__LmuB_SMC_Mrr,Lamassu-Fam__LmuC_acc_Mrr
PF_EC04	2_MazEF_9	MazEF	MazEF	Defense	2_75	2_76	2_75,2_76	2	MazEF__MazE,MazEF__MazF
PF_EC04	2_Mok_Hok_Sok_10	Mok_Hok_Sok	Mok_Hok_Sok	Defense	2_128	2_128	2_128	1	Mok_Hok_Sok__Mok
PF_EC04	2_psiab_24	Other	psiab	Antidefense	2_132	2_133	2_132,2_133	2	psia,psib
PF_EC04	2_ardb_klca_acric11_23	Anti_RM	ardb_klca_acric11	Antidefense	2_144	2_144	2_144	1	ardb
PF_EC04	2_CBASS_I_8	CBASS	CBASS_I	Defense	2_158	2_159	2_158,2_159	2	CBASS__Cyclase_II,CBASS__Effector_4TM_S_4TM
PF_EC04	2_PrrC_18	PrrC	PrrC	Defense	2_161	2_163	2_161,2_162,2_163	3	PrrC__EcoprrI,RM__Type_I_REases_FAM_0.einsi_trimmed,RM__Type_I_S_01
PF_EC04	3_ardb_klca_acric11_25	Anti_RM	ardb_klca_acric11	Antidefense	3_24	3_24	3_24	1	ardb
PF_EC04	3_psiab_26	Other	psiab	Antidefense	3_34	3_35	3_34,3_35	2	psia,psib
PF_EC04	3_Mok_Hok_Sok_11	Mok_Hok_Sok	Mok_Hok_Sok	Defense	3_37	3_37	3_37	1	Mok_Hok_Sok__Mok
PF_EC05	1_RM_Type_II_10	RM	RM_Type_II	Defense	1_2	1_4	1_2,1_4	2	RM_Type_II__Type_II_MTases_FAM_21,RM_Type_II__Type_II_REase06
PF_EC05	1_PD-T4-6_5	PD-T4-6	PD-T4-6	Defense	1_29	1_29	1_29	1	PD-T4-6__PD-T4-6
PF_EC05	1_ardb_klca_acric11_18	Anti_RM	ardb_klca_acric11	Antidefense	1_116	1_116	1_116	1	klca
PF_EC05	1_RM_Type_IV_12	RM	RM_Type_IV	Defense	1_949	1_949	1_949	1	RM_Type_IV__Type_IV_05
PF_EC05	1_PD-Lambda-1_4	PD-Lambda-1	PD-Lambda-1	Defense	1_1258	1_1258	1_1258	1	PD-Lambda-1__PD-Lambda-1
PF_EC05	1_DS-27_1	DS-27	DS-27	Defense	1_1832	1_1832	1_1832	1	DS-27__DS-27
PF_EC05	1_ardb_klca_acric11_19	Anti_RM	ardb_klca_acric11	Antidefense	1_1842	1_1842	1_1842	1	klca
PF_EC05	1_RM_Type_IIG_11	RM	RM_Type_IIG	Defense	1_1848	1_1848	1_1848	1	RM_Type_IIG__Type_IIG_FAM_1.einsi_trimmed
PF_EC05	1_Dsr_I_2	Dsr	Dsr_I	Defense	1_2182	1_2182	1_2182	1	Dsr_I__Dsr1
PF_EC05	1_RM_Type_IV_13	RM	RM_Type_IV	Defense	1_2240	1_2240	1_2240	1	RM_Type_IV__Type_IV_05
PF_EC05	1_ardb_klca_acric11_20	Anti_RM	ardb_klca_acric11	Antidefense	1_2418	1_2418	1_2418	1	klca
PF_EC05	1_Zorya_TypeII_6	Zorya	Zorya_TypeII	Defense	1_3576	1_3578	1_3576,1_3577,1_3578	3	Zorya_TypeII__ZorE,Zorya__ZorA2,Zorya__ZorB
PF_EC05	1_MazEF_3	MazEF	MazEF	Defense	1_3781	1_3782	1_3781,1_3782	2	MazEF__MazE,MazEF__MazF
PF_EC05	1_CAS_Class1-Subtype-I-E_14	Cas	CAS_Class1-Subtype-I-E	Defense	1_3805	1_3812	1_3805,1_3806,1_3807,1_3808,1_3809,1_3810,1_3811,1_3812	8	cas1_I-E_1,cas2_I-E_2,cas3_I_5,cas5_I-E_3,cas6e_I_II_III_IV_V_VI_1,cas7_I-E_2,cas8e_I-E_1,cse2gr11_I-E_1
PF_EC05	1_abc2_17	Anti_RecBCD	abc2	Antidefense	1_4166	1_4166	1_4166	1	abc2
PF_EC05	1_ral_21	Anti_RM	ral	Antidefense	1_4178	1_4178	1_4178	1	ral
PF_EC05	2_Mok_Hok_Sok_9	Mok_Hok_Sok	Mok_Hok_Sok	Defense	2_151	2_151	2_151	1	Mok_Hok_Sok__Mok
PF_EC05	2_psiab_25	Other	psiab	Antidefense	2_152	2_153	2_152,2_153	2	psia,psib
PF_EC05	2_DS-28_7	DS-28	DS-28	Defense	2_173	2_174	2_173,2_174	2	DS-28__DS-28A,DS-28__DS-28B
PF_EC05	2_Gao_Tmn_8	Gao_Tmn	Gao_Tmn	Defense	2_177	2_177	2_177	1	Gao_Tmn__TmnA
PF_EC05	3_ardb_klca_acric11_23	Anti_RM	ardb_klca_acric11	Antidefense	3_15	3_15	3_15	1	ardb
PF_EC05	3_psiab_24	Other	psiab	Antidefense	3_26	3_27	3_26,3_27	2	psia,psib
PF_EC05	3_arda_ardu_22	Anti_RM	arda_ardu	Antidefense	3_29	3_29	3_29	1	arda
PF_EC06	1_ardb_klca_acric11_16	Anti_RM	ardb_klca_acric11	Antidefense	1_800	1_800	1_800	1	klca
PF_EC06	1_Dpd_4	Dpd	Dpd	Defense	1_833	1_844	1_833,1_834,1_835,1_836,1_837,1_838,1_839,1_840,1_841,1_842,1_843,1_844	12	Dpd__DpdA,Dpd__DpdB,Dpd__DpdC,Dpd__DpdD,Dpd__DpdE,Dpd__DpdF,Dpd__DpdG,Dpd__DpdH,Dpd__DpdI,Dpd__DpdJ,Dpd__DpdK,Dpd__QueD
PF_EC06	1_Gao_Qat_5	Gao_Qat	Gao_Qat	Defense	1_847	1_850	1_847,1_848,1_849,1_850	4	Gao_Qat__QatA,Gao_Qat__QatB,Gao_Qat__QatC,Gao_Qat__QatD
PF_EC06	1_CBASS_I_2	CBASS	CBASS_I	Defense	1_851	1_852	1_851,1_852	2	CBASS__2TM_Gros,CBASS__A_Cyclase_AGS_C
PF_EC06	1_ardb_klca_acric11_17	Anti_RM	ardb_klca_acric11	Antidefense	1_867	1_867	1_867	1	klca
PF_EC06	1_MazEF_6	MazEF	MazEF	Defense	1_1095	1_1096	1_1095,1_1096	2	MazEF__MazE,MazEF__MazF
PF_EC06	1_CAS_Class1-Subtype-I-E_13	Cas	CAS_Class1-Subtype-I-E	Defense	1_1117	1_1121	1_1117,1_1118,1_1119,1_1120,1_1121	5	cas1_I-E_1,cas2_I-E_2,cas3_I_5,cas5_I-E_3,cas6e_I_II_III_IV_V_VI_1
PF_EC06	1_ardb_klca_acric11_18	Anti_RM	ardb_klca_acric11	Antidefense	1_1468	1_1468	1_1468	1	klca
PF_EC06	1_Shango_8	Shango	Shango	Defense	1_1494	1_1496	1_1494,1_1495,1_1496	3	Shango__SngA,Shango__SngB,Shango__SngC
PF_EC06	1_RM_Type_IV_12	RM	RM_Type_IV	Defense	1_2709	1_2709	1_2709	1	RM_Type_IV__Type_IV_05
PF_EC06	1_Septu_7	Septu	Septu	Defense	1_2731	1_2732	1_2731,1_2732	2	Septu__PtuA_2,Septu__PtuB_2
PF_EC06	1_DS-10_3	DS-10	DS-10	Defense	1_3611	1_3611	1_3611	1	DS-10__DS-10
PF_EC06	1_gam_19	Anti_RecBCD	gam	Antidefense	1_3621	1_3621	1_3621	1	gam
PF_EC06	1_RM_Type_I_11	RM	RM_Type_I	Defense	1_3920	1_3922	1_3920,1_3921,1_3922	3	RM__Type_I_MTases_FAM_0,RM__Type_I_REases_FAM_0.einsi_trimmed,RM__Type_I_S_06
PF_EC06	NODE_2+_length_112430_cov_0.997587_ardb_klca_acric11_21	Anti_RM	ardb_klca_acric11	Antidefense	NODE_2+_length_112430_cov_0.997587_56	NODE_2+_length_112430_cov_0.997587_56	NODE_2+_length_112430_cov_0.997587_56	1	ardb
PF_EC06	NODE_2+_length_112430_cov_0.997587_psiab_22	Other	psiab	Antidefense	NODE_2+_length_112430_cov_0.997587_62	NODE_2+_length_112430_cov_0.997587_63	NODE_2+_length_112430_cov_0.997587_62,NODE_2+_length_112430_cov_0.997587_63	2	psia,psib
PF_EC06	NODE_2+_length_112430_cov_0.997587_arda_ardu_20	Anti_RM	arda_ardu	Antidefense	NODE_2+_length_112430_cov_0.997587_65	NODE_2+_length_112430_cov_0.997587_65	NODE_2+_length_112430_cov_0.997587_65	1	arda
PF_EC06	NODE_4+_length_35362_cov_2.01572_MazEF_9	MazEF	MazEF	Defense	NODE_4+_length_35362_cov_2.01572_5	NODE_4+_length_35362_cov_2.01572_7	NODE_4+_length_35362_cov_2.01572_5,NODE_4+_length_35362_cov_2.01572_7	2	MazEF__MazE,MazEF__MazF
PF_EC06	NODE_4+_length_35362_cov_2.01572_ardk_23	Anti_RM	ardk	Antidefense	NODE_4+_length_35362_cov_2.01572_44	NODE_4+_length_35362_cov_2.01572_44	NODE_4+_length_35362_cov_2.01572_44	1	ardk
PF_EC07	1_MazEF_4	MazEF	MazEF	Defense	1_935	1_936	1_935,1_936	2	MazEF__MazE,MazEF__MazF
PF_EC07	1_CAS_Class1-Subtype-I-E_8	Cas	CAS_Class1-Subtype-I-E	Defense	1_959	1_966	1_959,1_960,1_961,1_962,1_963,1_964,1_965,1_966	8	cas1_I-E_1,cas2_I-E_2,cas3_I_5,cas5_I-E_3,cas6e_I_II_III_IV_V_VI_1,cas7_I-E_2,cas8e_I-E_1,cse2gr11_I-E_1
PF_EC07	1_SDIC3_5	SDIC3	SDIC3	Defense	1_1065	1_1068	1_1065,1_1066,1_1067,1_1068	4	SDIC3__SDIC3C,SDIC3__SDIC3D,SDIC3__SDIC3E,SDIC3__SDIC3F
PF_EC07	1_Hachiman_2	Hachiman	Hachiman	Defense	1_1073	1_1074	1_1073,1_1074	2	Hachiman__HamA_1,Hachiman__HamB
PF_EC07	1_racc_17	Anti_Retron	racc	Antidefense	1_2468	1_2468	1_2468	1	racc
PF_EC07	1_DS-20_1	DS-20	DS-20	Defense	1_3443	1_3443	1_3443	1	DS-20__DS-20
PF_EC07	1_ardb_klca_acric11_16	Anti_RM	ardb_klca_acric11	Antidefense	1_3828	1_3828	1_3828	1	klca
PF_EC07	2_psiab_12	Other	psiab	Antidefense	2_112	2_113	2_112,2_113	2	psia,psib
PF_EC07	2_ardb_klca_acric11_11	Anti_RM	ardb_klca_acric11	Antidefense	2_125	2_125	2_125	1	ardb
PF_EC07	3_TIR-I_6	TIR-I	TIR-I	Defense	3_7	3_8	3_7,3_8	2	TIR-I__TIR-I_A,TIR-I__TIR-I_B
PF_EC07	3_ardb_klca_acric11_14	Anti_RM	ardb_klca_acric11	Antidefense	3_39	3_39	3_39	1	ardb
PF_EC07	3_psiab_15	Other	psiab	Antidefense	3_45	3_46	3_45,3_46	2	psia,psib
PF_EC07	3_arda_ardu_13	Anti_RM	arda_ardu	Antidefense	3_48	3_48	3_48	1	arda
PF_EC07	4_RM_Type_II_7	RM	RM_Type_II	Defense	4_1	4_3	4_1,4_3	2	RM_Type_II__Type_II_MTases_FAM_4,RM_Type_II__Type_II_REase30
PF_EC08	1_PsyrTA_3	PsyrTA	PsyrTA	Defense	1_286	1_287	1_286,1_287	2	PsyrTA__PsyrA,PsyrTA__PsyrT
PF_EC08	1_SanaTA_5	SanaTA	SanaTA	Defense	1_774	1_775	1_774,1_775	2	SanaTA__SanaA,SanaTA__SanaT
PF_EC08	1_ardb_klca_acric11_15	Anti_RM	ardb_klca_acric11	Antidefense	1_784	1_784	1_784	1	klca
PF_EC08	1_ardb_klca_acric11_16	Anti_RM	ardb_klca_acric11	Antidefense	1_1756	1_1756	1_1756	1	klca
PF_EC08	1_RM_Type_II_11	RM	RM_Type_II	Defense	1_1896	1_1897	1_1896,1_1897	2	RM_Type_II__Type_II_MTases_FAM_0,RM_Type_II__Type_II_REase15
PF_EC08	1_Lamassu-Mrr_2	Lamassu-Fam	Lamassu-Mrr	Defense	1_2644	1_2646	1_2644,1_2645,1_2646	3	Lamassu-Fam__LmuA_effector_Mrr,Lamassu-Fam__LmuB_SMC_Mrr,Lamassu-Fam__LmuC_acc_Mrr
PF_EC08	1_Retron_I_C_4	Retron	Retron_I_C	Defense	1_2648	1_2648	1_2648	1	Retron_I_C__RT_1_C1
PF_EC08	1_gam_20	Anti_RecBCD	gam	Antidefense	1_2750	1_2750	1_2750	1	gam
PF_EC08	1_AbiE_1	AbiE	AbiE	Defense	1_3603	1_3604	1_3603,1_3604	2	AbiEii__AbiEi_3,AbiEii__AbiEii
PF_EC08	1_RM_Type_I_10	RM	RM_Type_I	Defense	1_3605	1_3607	1_3605,1_3606,1_3607	3	RM__Type_I_MTases_FAM_0,RM__Type_I_REases_FAM_0.einsi_trimmed,RM__Type_I_S_06
PF_EC08	1_RM_Type_IV_14	RM	RM_Type_IV	Defense	1_3966	1_3967	1_3966,1_3967	2	RM_Type_IV__FAM_1,RM_Type_IV__FAM_2
PF_EC08	1_RM_Type_II_12	RM	RM_Type_II	Defense	1_3968	1_3970	1_3968,1_3969,1_3970	3	RM_Type_II__Type_II_MTases_FAM_0,RM_Type_II__Type_II_MTases_FAM_33,RM_Type_II__Type_II_REase37
PF_EC08	1_ardb_klca_acric11_17	Anti_RM	ardb_klca_acric11	Antidefense	1_3980	1_3980	1_3980	1	klca
PF_EC08	1_SoFic_6	SoFIC	SoFic	Defense	1_4017	1_4017	1_4017	1	SoFic__SoFic
PF_EC08	1_RM_Type_II_13	RM	RM_Type_II	Defense	1_4022	1_4025	1_4022,1_4025	2	RM_Type_II__Type_II_MTases_FAM_0,RM_Type_II__Type_II_REase30
PF_EC08	1_ardc_19	Anti_RM	ardc	Antidefense	1_4027	1_4027	1_4027	1	ardc
PF_EC08	1_ardb_klca_acric11_18	Anti_RM	ardb_klca_acric11	Antidefense	1_4153	1_4153	1_4153	1	klca
PF_EC08	2_MazEF_7	MazEF	MazEF	Defense	2_62	2_63	2_62,2_63	2	MazEF__MazE,MazEF__MazF
PF_EC08	2_Mok_Hok_Sok_8	Mok_Hok_Sok	Mok_Hok_Sok	Defense	2_119	2_119	2_119	1	Mok_Hok_Sok__Hok
PF_EC08	2_psiab_22	Other	psiab	Antidefense	2_120	2_121	2_120,2_121	2	psia,psib
PF_EC08	2_ardb_klca_acric11_21	Anti_RM	ardb_klca_acric11	Antidefense	2_134	2_134	2_134	1	ardb
